top - 16:12:02 up  1:46,  4 users,  load average: 0.31, 0.37, 0.29
Tasks: 358 total,   1 running, 357 sleeping,   0 stopped,   0 zombie
%Cpu(s):  4.2 us,  8.3 sy,  0.0 ni, 87.5 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st 
MiB Mem :   3354.5 total,    216.2 free,   2251.5 used,   1188.5 buff/cache     
MiB Swap:   3530.0 total,   3294.3 free,    235.7 used.   1103.0 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   4425 dev-luke  20   0   39128  10800  10160 S   0.0   0.3   0:00.04 snapd-d+
   4426 dev-luke  20   0  402364  11352   9688 S   0.0   0.3   0:00.04 wireplu+
   4427 dev-luke  20   0  108980   7928   7544 S   0.0   0.2   0:00.00 pipewir+
   4431 dev-luke  20   0    8788   4848   4464 S   0.0   0.1   0:00.01 dbus-da+
   4461 dev-luke  20   0  610600   6820   6436 S   0.0   0.2   0:00.00 xdg-doc+
   4475 dev-luke  20   0  310480   5988   5732 S   0.0   0.2   0:00.00 xdg-per+
   4488 root      20   0    2772   2024   2024 S   0.0   0.1   0:00.00 fusermo+
   4729 dev-luke  20   0  352816  16024  14340 S   0.0   0.5   0:00.03 snapd-d+
   4742 root      20   0   13344   5112   4984 S   0.0   0.1   0:00.01 su
   4743 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
   4744 dev-moo+  20   0   12096   4392   4136 S   0.0   0.1   0:00.01 bash
   4898 root      20   0   13380   5080   4952 S   0.0   0.1   0:00.03 su
   4907 dev-luke  20   0   12296   5152   4128 S   0.0   0.1   0:00.15 bash
   4932 root      20   0       0      0      0 I   0.0   0.0   0:01.30 kworker+
   4968 dev-moo+  20   0   11.7g 599000 242728 S   0.0  17.4   3:33.56 firefox
   5157 dev-moo+  20   0  218132  40900  40132 S   0.0   1.2   0:00.07 Socket +
   5206 dev-moo+  20   0 2447040  90116  76436 S   0.0   2.6   0:00.76 WebExte+
   5211 dev-moo+  20   0  361680  52968  50984 S   0.0   1.5   0:00.23 RDD Pro+
